"Partido","Tiempo","tag","key","max_distance","max_effort","max_high_intensity","max_speed","max_sprint"
"P1","T1",1,"P1T11",5921.5,6029.21,519.898,9.25551,239.24
"P1","T1",2,"P1T110",7173.07,9244.53,615.842,11.126,117.799
"P1","T1",3,"P1T111",634.211,961.771,5.73029,4.95435,5.54082
"P1","T1",4,"P1T112",0.285215,2.37581,0,0,0
"P1","T1",5,"P1T113",6317.22,7893.3,305.881,8.68467,65.5865
"P1","T1",6,"P1T114",6692.23,8252.44,416.321,7.56592,65.9241
"P1","T1",7,"P1T115",6445.86,6639.32,406.405,9.3717,225.619
"P1","T1",10,"P1T12",5847.69,5980.21,161.408,8.09707,41.1402
"P1","T1",11,"P1T13",3.75693,2.35999,0,2.11347,0
"P1","T1",13,"P1T15",6657.22,9022.28,344.628,7.44125,21.848
"P1","T1",14,"P1T16",747.56,851.31,4.86877,4.87436,1.14067
"P1","T1",15,"P1T17",6621.55,6437.19,413.541,9.20545,133.757
"P1","T1",16,"P1T18",6064.47,7225.28,317.147,8.43539,83.7148
"P1","T1",17,"P1T19",6044.92,6394.84,297.133,8.36416,106.562
"P1","T2",1,"P1T21",5961.12,6180.92,519.898,0,239.24
"P1","T2",2,"P1T210",11759.2,15412.4,915.192,8.83038,238.012
"P1","T2",3,"P1T211",1946.62,3112.5,37.5904,6.48137,5.54082
"P1","T2",4,"P1T212",0.285215,2.39302,0,0,0
"P1","T2",5,"P1T213",12279.3,15833.5,502.542,7.84775,108.179
"P1","T2",6,"P1T214",13389.9,16182.4,885.157,7.51765,139.185
"P1","T2",7,"P1T215",12792.9,12769.3,720.809,8.22982,312.201
"P1","T2",10,"P1T22",11607.1,11663.6,374.506,7.331,52.4954
"P1","T2",12,"P1T24",185.996,157.07,5.81717,8.71247,20.8483
"P1","T2",13,"P1T25",13058.6,16870.2,638.212,8.56793,86.7216
"P1","T2",14,"P1T26",7281.39,7048.14,673.587,8.18391,156.527
"P1","T2",15,"P1T27",9483.46,8965.88,656.874,7.4167,181.522
"P1","T2",16,"P1T28",11842.7,14128.5,722.441,8.78438,301.845
"P1","T2",17,"P1T29",12276.7,12968.2,668.745,9.98052,214.828
"P2","T1",1,"P2T11",0.049722,2.03556,0,0,0
"P2","T1",2,"P2T110",6795.67,8869.27,343.41,6.72132,24.697
"P2","T1",3,"P2T111",6768.5,8674.11,456.591,7.73884,64.503
"P2","T1",4,"P2T112",5732.16,6840.33,188.245,7.00327,57.8979
"P2","T1",5,"P2T113",6815.36,6814.64,485.041,8.17838,91.7874
"P2","T1",7,"P2T115",6168.04,7224.04,217.734,6.6745,3.08223
"P2","T1",8,"P2T116",6056.05,7028.01,297.963,7.07158,58.8951
"P2","T1",10,"P2T12",5862.9,6336.4,256.064,8.24178,98.203
"P2","T1",11,"P2T13",2.89645,1.24656,0,0,0
"P2","T1",14,"P2T16",6856.93,6207.57,614.964,8.37362,231.253
"P2","T1",15,"P2T17",6277.72,6913.18,363.429,8.82214,157.928
"P2","T1",16,"P2T18",6753.14,7668.84,574.438,8.85057,137.723
"P2","T2",1,"P2T21",0.049722,2.04285,0,0,0
"P2","T2",2,"P2T210",13265,16773.9,767.674,7.11806,94.3014
"P2","T2",3,"P2T211",13051,15850.4,972.362,10.0802,229.678
"P2","T2",4,"P2T212",11463.9,13261.5,385.738,7.77413,93.4585
"P2","T2",5,"P2T213",13406.2,12987,983.075,8.76398,287.555
"P2","T2",6,"P2T214",104.302,72.7227,5.02338,4.13609,10.7463
"P2","T2",7,"P2T215",9016.4,10347,339.995,6.23711,17.3479
"P2","T2",8,"P2T216",10273.2,11552.6,600.683,7.79297,150.676
"P2","T2",9,"P2T217",29.5861,2.19348,3.3349,0,21.1198
"P2","T2",10,"P2T22",11586.8,11904,504.593,12.9761,178.104
"P2","T2",11,"P2T23",2.89645,1.25729,0,0,0
"P2","T2",12,"P2T24",9.95441,10.1998,0,0,0
"P2","T2",13,"P2T25",92.4694,89.0105,1.72237,8.60946,6.74932
"P2","T2",14,"P2T26",13720,12313.8,1175.87,8.72987,419.224
"P2","T2",15,"P2T27",8352.26,8837.83,489.29,8.91326,248.586
"P2","T2",16,"P2T28",11168.3,12266.6,843.763,8.26385,258.344
"P2","T2",17,"P2T29",151.618,131.702,6.44563,2.683,4.87988
